trial,activity,frame0,time_from_clip_start_nominal_s,com_proxy_camera_x_m,com_proxy_camera_y_m,com_proxy_camera_z_m,delta_camera_x_m,delta_camera_minus_y_m,delta_camera_z_m,absolute_height_above_floor_m,true_horizontal_1_m,true_horizontal_2_m,equal_joint_centroid_x_m,equal_joint_centroid_y_m,equal_joint_centroid_z_m,median_normalized_limb_scale,max_joint_step_from_previous_m,review_flag,head_ankle_angle_to_camera_minus_y_deg,eye_to_furthest_foot_m
S50A10T01,A10,0,0.0,0.03695212300336456,0.5410162867234454,2.2860325470975664,0.0,0.0,0.0,,,,-0.06545823299884795,0.4875891321301461,2.219889404296875,1.0263940009579366,,False,104.19198935364854,1.4588227887047607
S50A10T01,A10,1,0.03333333333333333,0.039304450579990234,0.5786587355390993,2.3799824703358814,0.002352327576625672,-0.03764244881565393,0.09394992323831497,,,,-0.029696176230907437,0.6295714805126189,2.336140697479248,1.0067738045384118,1.1689306672536954,True,106.56786355334053,1.4777671814284998
S50A10T01,A10,2,0.06666666666666667,0.0358054537245456,0.5824293147437734,2.3925167879833693,-0.001146669278818964,-0.04141302802032798,0.10648424088580288,,,,-0.03637625145912171,0.6300893123149871,2.346984378814698,1.030509789452534,0.05487672064333759,False,107.1094661784039,1.5373645396763802
S50A10T01,A10,3,0.1,0.03426522106306151,0.5899048961896415,2.406692655329275,-0.002686901940303049,-0.04888860946619611,0.12066010823170847,,,,-0.042694165825843844,0.6355322916507721,2.3521117782592778,1.0712170428374512,0.09602262449290834,True,106.37502177274166,1.5724286052300245
S50A10T01,A10,4,0.13333333333333333,0.03478967032637771,0.5907757096165531,2.3990339690366405,-0.0021624526769868507,-0.04975942289310775,0.11300142193907403,,,,-0.03678505969047548,0.637773353457451,2.349708011627198,1.0392598161011277,0.15307896890736902,False,104.25992117761989,1.5533682938152071
S50A10T01,A10,5,0.16666666666666666,0.035693589246022804,0.5877669672746925,2.402079118238572,-0.001258533757341758,-0.04675068055124709,0.11604657114100547,,,,-0.05902252191305157,0.6398535237312319,2.3494832267761234,1.0279379902846848,0.28018950860841507,True,108.7199991822242,1.5087489506835543
S50A10T01,A10,6,0.2,0.047094438352870284,0.6057384184858965,2.409400428093072,0.010142315349505722,-0.06472213176245112,0.12336788099550544,,,,-0.04892769452929498,0.6494964237213136,2.357253784179688,1.0319950524295316,0.1325136550312554,False,104.52793972029221,1.538286400573249
S50A10T01,A10,7,0.23333333333333334,0.06100690278986797,0.6148476645894976,2.402054566596446,0.02405477978650341,-0.0738313778660522,0.11602201949887947,,,,-0.0357207220494747,0.654242082118988,2.354815998077393,1.0223025825072374,0.09508976196858226,False,100.91497773067306,1.5390703003634008
S50A10T01,A10,8,0.26666666666666666,0.07986520372252762,0.6224717746369686,2.4202328827679307,0.042913080719163055,-0.0814554879135232,0.13420033567036427,,,,-0.019392039477825147,0.665912342071533,2.371969234466553,1.04583706473761,0.14304700086754576,False,98.64738994958037,1.570897407130609
S50A10T01,A10,9,0.3,0.10559890099684571,0.6428385747832,2.4175451462953514,0.06864677799348115,-0.10182228805975457,0.13151259919778502,,,,0.0037360532730818033,0.6893266334533692,2.363945285797119,1.064646759244716,0.12640236165072186,False,94.80006647736973,1.560753407811613
