trial,from_index0,to_index0,to_time_nominal_s,max_joint,max_step_m,lower_trunk_max_m,pelvis_step_m,joint_count_gt_0p2m
S06A08T01,89,90,3.0,ankle_left,0.2591631441109023,0.2591631441109023,0.04975993738736583,2
S06A08T01,94,95,3.1666666666666665,elbow_right,0.46883108699926224,0.2652070986891864,0.08212623958006629,17
S06A08T01,95,96,3.2,elbow_right,0.2124669839644292,0.10387378859534754,0.06902814865105336,1
S06A08T01,96,97,3.2333333333333334,wrist_left,0.4578004517019398,0.2991674330578806,0.029852988509101386,20
S06A08T01,116,117,3.9,wrist_right,0.537371477887098,0.4591221620235997,0.05753311327965664,16
S06A08T01,118,119,3.966666666666667,wrist_right,0.5688817938690639,0.29828200996288773,0.019854336839972928,16
S06A08T01,219,220,7.333333333333333,wrist_right,0.3008660207018259,0.2862271518115771,0.019501257850507454,4
S06A08T01,220,221,7.366666666666666,handtip_right,0.3062806094362548,0.04033240076407825,0.013828225652896986,1
S06A08T01,221,222,7.4,thumb_right,0.22044449058893306,0.19048568424219797,0.019570148243699,3
S06A08T02,19,20,0.6666666666666666,handtip_left,0.6087028206294022,0.31618000600290047,0.22034608230827699,22
S06A08T02,20,21,0.7,handtip_right,0.7519202310576021,0.6725118338023538,0.2567143266925189,18
S06A08T02,21,22,0.7333333333333333,handtip_right,0.4269564415466632,0.16883231991303055,0.033747842153558465,4
S06A08T02,24,25,0.8333333333333334,handtip_left,0.9413412525316125,0.35985354427519983,0.16766531688101247,19
S06A08T02,25,26,0.8666666666666667,handtip_left,0.8141679534147922,0.31572331388314223,0.07717709548706807,14
S06A08T02,39,40,1.3333333333333333,knee_left,0.2213857059925699,0.2213857059925699,0.045904133385111026,1
S06A08T02,40,41,1.3666666666666667,handtip_left,0.2030091051309096,0.12042236859312085,0.018470976790309495,1
S06A08T02,43,44,1.4666666666666666,thumb_left,0.7183983817541639,0.3289446396938251,0.25527271069578583,21
S06A08T02,44,45,1.5,ankle_left,0.79063000281331,0.79063000281331,0.3779139472563449,22
S06A08T02,49,50,1.6666666666666667,foot_left,0.22516561197975088,0.22516561197975088,0.03001083700090936,1
S06A08T02,59,60,2.0,hand_left,0.6033947705805346,0.47989106286405825,0.036365295064261775,17
S06A08T02,60,61,2.033333333333333,hand_left,0.3313753723261361,0.33070512389813267,0.025877792598372047,8
S06A08T03,16,17,0.5666666666666667,foot_right,0.2077407174074973,0.2077407174074973,0.036797637753670974,1
S06A08T03,26,27,0.9,handtip_right,0.202812257572183,0.13039289036689608,0.03039395711698017,1
S06A08T03,30,31,1.0333333333333334,wrist_right,0.2648589949518063,0.07257345019686434,0.029623785135201978,1
S06A08T03,32,33,1.1,thumb_right,0.30339688608660914,0.06987468231112536,0.026644242056061807,2
S06A08T03,65,66,2.2,elbow_left,0.5108332786734227,0.36550809075006424,0.2803989462118636,23
S06A08T03,66,67,2.2333333333333334,hand_left,0.4948579937648913,0.3688410927611642,0.19335438180940298,20
S06A08T03,67,68,2.2666666666666666,foot_left,0.9768279640117732,0.9768279640117732,0.20896087490468224,23
S06A08T03,68,69,2.3,handtip_left,0.8178859300667755,0.7306607241893656,0.10628959377318606,20
S06A08T03,69,70,2.3333333333333335,foot_left,0.3332643663364549,0.3332643663364549,0.012940746498418207,2
S06A08T03,70,71,2.3666666666666667,handtip_right,0.2337652228184284,0.01511657889817716,0.0027286679016547645,3
S06A08T03,71,72,2.4,thumb_left,0.2936492955150204,0.06589468045663004,0.009346974073241468,7
S06A08T03,92,93,3.1,handtip_right,0.20950972586298366,0.04799273420311019,0.026086805122660185,1
S06A08T03,119,120,4.0,foot_left,0.2031322929517105,0.2031322929517105,0.05586955953204747,1
S06A08T03,128,129,4.3,foot_right,0.2486009892005881,0.2486009892005881,0.03507796192950812,2
S06A08T03,138,139,4.633333333333334,handtip_left,0.20085235798340037,0.0669902594323246,0.004146813641973355,1
S06A08T03,141,142,4.733333333333333,thumb_left,0.22927777138627262,0.03640766130497625,0.010089288789580778,1
S06A08T03,142,143,4.766666666666667,thumb_left,0.2924030095796498,0.030327647078462253,0.019154982424498194,2
S06A08T03,147,148,4.933333333333334,wrist_right,0.2825896964212288,0.10416582372899609,0.012213183850163602,4
S06A08T03,149,150,5.0,handtip_right,0.3563265116730102,0.05736628411173,0.01302090998610792,3
S06A08T03,159,160,5.333333333333333,handtip_left,0.21697027188902332,0.045663658100636766,0.020361099648894255,1
S06A08T03,183,184,6.133333333333334,handtip_right,0.31593186549800983,0.07583932779341247,0.04019320905604463,1
S06A08T04,7,8,0.26666666666666666,handtip_right,0.35981260800970605,0.016510650123249856,0.010161994115301842,3
S06A08T04,8,9,0.3,foot_right,0.2567100477068664,0.2567100477068664,0.020790257890689175,1
S06A08T04,42,43,1.4333333333333333,hand_left,0.21402842279245282,0.09218503951683422,0.041326157543014615,1
S06A08T04,61,62,2.066666666666667,hand_left,0.3607455548819134,0.10394850973264586,0.030725314833597774,4
S06A08T04,64,65,2.1666666666666665,foot_right,0.2067890500593933,0.2067890500593933,0.04080269678544962,1
S06A08T04,86,87,2.9,foot_left,0.28246267069446185,0.28246267069446185,0.042816902122944034,3
S06A08T04,91,92,3.066666666666667,thumb_left,0.22118218885562424,0.04313235886830165,0.01726141429818225,3
S06A08T04,117,118,3.933333333333333,handtip_left,0.259570367644154,0.03529799602491211,0.031205581348104354,1
S06A08T04,148,149,4.966666666666667,foot_left,1.0051091571330575,1.0051091571330575,0.06990268485001197,21
S06A08T04,149,150,5.0,foot_left,0.9801454325851083,0.9801454325851083,0.06548142980034286,23
S06A08T04,154,155,5.166666666666667,handtip_left,0.5658690797866021,0.5524942694844623,0.08745888128381529,19
S06A08T04,155,156,5.2,handtip_right,0.7352936462122557,0.5700152436405238,0.08221446819756471,18
S06A08T04,157,158,5.266666666666667,thumb_right,0.24387821738695795,0.01986981707927357,0.017458807813654758,1
S06A08T04,158,159,5.3,foot_left,0.982805585012717,0.982805585012717,0.08482996901970831,21
S06A08T04,161,162,5.4,foot_left,1.0359299151887955,1.0359299151887955,0.10409124944683884,22
S06A08T04,162,163,5.433333333333334,handtip_left,0.5672856592525058,0.390013856994095,0.03645633190869739,18
S06A08T04,163,164,5.466666666666667,handtip_right,0.9231143811574222,0.4067653044685901,0.06791253358768581,18
S06A08T04,164,165,5.5,hand_left,0.3737711939212988,0.03438062409127965,0.0034289087465260272,8
S06A08T04,165,166,5.533333333333333,handtip_left,0.7921351945828321,0.46785765556690934,0.08538468635062946,19
S06A08T04,167,168,5.6,handtip_right,0.3600855558492969,0.10710936403419305,0.0014507795416179657,5
S06A08T04,168,169,5.633333333333334,handtip_left,0.3152515761725349,0.12481372035703157,0.005978583423973001,4
S06A08T04,170,171,5.7,handtip_right,0.31139254874296685,0.1908608812439326,0.01612333432047476,5
S06A08T04,172,173,5.766666666666667,foot_right,0.23212933982794456,0.23212933982794456,0.010277810801797299,1
S06A08T04,181,182,6.066666666666666,hand_left,0.8086061795251768,0.647875214240971,0.06632741154743604,19
S06A08T04,183,184,6.133333333333334,hand_left,0.5777660627488839,0.3583031609203711,0.3206788604598368,27
S06A08T04,184,185,6.166666666666667,handtip_left,0.6071938876802552,0.37292401781310414,0.32014117809506243,26
S06A08T04,185,186,6.2,handtip_left,0.6447034571029943,0.29684378840434095,0.10722473865110585,16
S06A08T04,186,187,6.233333333333333,elbow_right,0.5080860815461866,0.3419523790338945,0.12929625239313836,16
S06A08T04,187,188,6.266666666666667,hand_left,0.2979881587553731,0.17307070273967384,0.021688753854113344,7
S06A08T05,20,21,0.7,handtip_right,0.2138675690590477,0.043536337062912656,0.042821256863643097,2
S06A08T05,23,24,0.8,handtip_right,0.2772549213376179,0.07434307263601786,0.03414993949587447,5
S06A08T05,24,25,0.8333333333333334,handtip_right,0.22701518191265463,0.06296650309933353,0.03373998633896004,1
S06A08T05,44,45,1.5,handtip_right,0.2910086350412284,0.06439590126528341,0.012059101887043192,2
S06A08T05,106,107,3.566666666666667,foot_right,0.24730797512251274,0.24730797512251274,0.026171367387668672,1
S06A08T05,108,109,3.6333333333333333,foot_right,0.21853377150817554,0.21853377150817554,0.028165359403717134,1
S06A08T05,110,111,3.7,handtip_left,0.2191965162888315,0.12853165230815147,0.03225252252139894,1
S06A08T05,141,142,4.733333333333333,foot_right,0.2678268974202112,0.2678268974202112,0.032714587976874335,2
S06A08T05,154,155,5.166666666666667,foot_left,0.23026722429585306,0.23026722429585306,0.023602077562476,1
S06A08T05,161,162,5.4,foot_left,0.2193414251463106,0.2193414251463106,0.03309542420411178,1
S06A08T05,164,165,5.5,foot_left,0.24264987218123005,0.24264987218123005,0.050476434196603914,1
S06A08T05,167,168,5.6,foot_left,0.32640846203144674,0.32640846203144674,0.0578094803695865,5
S06A08T05,179,180,6.0,handtip_right,0.21895434451623066,0.030175960433755162,0.02360486099419885,1
