trial,activity,description,bytes,sha256,source_member,status,frames,first_to_last_s,columns,n_over_fps_s,nonfinite_values,zero_values,exact_duplicate_rows,max_joint_step_m,max_joint_step_joint,max_step_from_frame0,max_step_to_frame0,max_pelvis_step_m,max_com_step_m,steps_any_joint_over_threshold,flagged_destination_frames,limb_scale_range_pct,max_limb_cv_pct,min_limb_correlation,max_normalized_limb_spread,head_ankle_angle_to_camera_minus_y_start_deg,head_ankle_angle_to_camera_minus_y_end_deg,head_ankle_angle_min_deg,eye_foot_distance_start_m,eye_foot_distance_max_m,max_eye_foot_over_reported_stature,com_minus_equal_joint_centroid_median_m,com_minus_equal_joint_centroid_max_m,com_camera_x_range_m,com_camera_y_range_m,com_camera_z_range_m,com_camera_minus_y_change_end_m
S50A11T05,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T05.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50A11T04,A11,Frontfall,129141,0e0dc9406ba1c8f786dedcf9ea5da11e3c8a4d8bf472cc835a33d7a25e50a4c2,S50_FallSamples/S50A11T04.csv,numeric,76,2.5,96,2.533333333333333,0,0,0,0.5503223347412881,foot_right,5,6,0.15177633628196696,0.13765738321525975,15,23,33.6715400380017,5.4912755362349985,0.9999999999587106,1.7827547278415068e-06,20.920235692996073,90.55502595423509,20.572742670876696,1.4426383258532198,1.7589643350242896,1.0335905130005227,0.12537327566573564,0.1733114018611094,0.6966459769006883,0.4093901387045454,0.14256910147540847,-0.37656626204042837
S50A13T01,A13,Rightfall,48943,0191eda24f15a5c1a6ff7dd2ddfc846485f31500cda698685c79f6b0819dc1cb,S50_FallSamples/S50A13T01.csv,numeric,29,0.9333333333333333,96,0.9666666666666667,0,0,0,0.7820169973008365,foot_right,14,15,0.24900684922816654,0.2109776081509448,5,7,39.9686555668163,13.328259591571086,0.9999999999912977,1.642236682641851e-06,87.66393538676887,86.55347994614135,85.46486515128827,1.4062596223874113,1.4649399349810572,0.860817919250827,0.10361053286678458,0.14275950850638874,0.16757925393369777,0.060521404068394236,0.18557722271845734,0.0090379881275513
S50A13T03,A13,Rightfall,38762,9375c868dc3c1976da0612060002a73e6e17624dcc9433318eeeb5d25e51d0c5,S50_FallSamples/S50A13T03.csv,numeric,23,0.7333333333333333,96,0.7666666666666667,0,0,0,0.2832471004823683,foot_left,21,22,0.08286433035408226,0.06300841642763405,5,7,18.246610409989252,4.401943358712157,0.9999999998025133,2.0561079450143183e-06,83.59408785541586,92.29645407476806,83.59408785541586,1.3367069296927834,1.3582405638883526,0.7981199693785125,0.13830096837554573,0.15031255239000257,0.07199647957125832,0.039680058163181875,0.051999208814348385,-0.004072088363585968
S50A13T02,A13,Rightfall,84427,1f99575ca5f3948b63da6cc3af24cbc37ff790ff1bffea5f6e551548700e9496,S50_FallSamples/S50A13T02.csv,numeric,50,1.6333333333333333,96,1.6666666666666667,0,0,0,0.3238031349720205,foot_right,48,49,0.01882429499490964,0.02011048030621026,2,2,6.859362001737712,1.612009060160783,0.99999999939302,1.4875604038566692e-06,90.31133630266325,85.34879472864533,85.34879472864533,1.5133911682197683,1.5492225464741087,0.91034348717482,0.14588582461851293,0.15431575825656654,0.029798902534601934,0.03735063707969799,0.052096407657663324,0.02457933700142878
S50A11T03,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T03.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50A11T02,A11,Frontfall,105798,6cf1747a8300f7d439a3e4cdf35893eaad3634e7469138aa02280083ab9aa586,S50_FallSamples/S50A11T02.csv,numeric,62,2.033333333333333,96,2.066666666666667,0,0,0,0.8655045104616839,handtip_right,2,3,0.07407317649533077,0.09118012432141251,10,10,5.869239992310771,1.3582228061372679,0.999999999486219,1.4885446725232399e-06,92.33100951980063,80.18040207617534,79.04089322085727,1.6607148426992397,1.72797014109839,1.015377918144547,0.1526446104071449,0.21244544474738805,0.08830499448292417,0.10487320273646228,0.05895456338697036,-0.09401002435015349
S50A13T05,A13,Rightfall,30536,2132aff4fad953b6e46472693080324a5b5de72b1d533f54c486d821b58b8b8b,S50_FallSamples/S50A13T05.csv,numeric,18,0.5666666666666667,96,0.6,0,0,0,0.03280820425263161,knee_right,10,11,0.010704041971349209,0.0076069829344151685,0,0,3.076791757981634,0.9460342185776766,0.9999999987014685,1.368475319063478e-06,83.64851572670102,83.86967211221682,83.26129491447834,1.4212641245407287,1.4361794951411269,0.8439179075926236,0.16248981861489314,0.16501310697718796,0.022172607228553354,0.013848803128796439,0.01448387424073383,-0.005812673233914101
S50A11T01,A11,Frontfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A11T01.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50A13T04,A13,Rightfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A13T04.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50A14T01,A14,Rotatefall (turn and fall),135453,8a47d4aac249adbb3e501f517f67ba048aa07fe847e35035f13b9599fc99d45e,S50_FallSamples/S50A14T01.csv,numeric,79,2.6,96,2.6333333333333333,0,0,0,0.5584887989997487,hand_right,26,27,0.016325942929636805,0.030826614823558234,3,3,8.81137698803116,2.7488239511380277,0.999999999852242,1.7500690288052567e-06,93.58438280414447,89.79509553205028,89.46830651243702,1.6179636045082546,1.6717270949708585,0.9823287665829465,0.195456660737969,0.21543511874044696,0.03876993290236588,0.06482935695030101,0.044727180320039306,0.04126904322315583
S50A14T03,A14,Rotatefall (turn and fall),110052,561430531a476f52a934a4d5adeb9cae232cb5e9f2f2f078d03b74bcb97d57ad,S50_FallSamples/S50A14T03.csv,numeric,65,2.1333333333333333,96,2.1666666666666665,0,0,0,0.3572456483370613,handtip_right,36,37,0.0419494288603367,0.036309523620842006,7,11,25.47641505046403,6.517042675420364,0.9999999999706252,1.8970665502937578e-06,95.20673637521847,86.29490113734587,82.72496308640832,1.6722471938545083,1.7912262029695378,1.0525480097364777,0.17232137626628766,0.2002410098064768,0.07738889960433026,0.08541919384304775,0.08858665456451176,0.056559691768067744
S50A14T02,A14,Rotatefall (turn and fall),156651,a3575134662ec53ee7c3c5f2a0b6f3a5e90f56d3d81c45e9e1c1f635b3590971,S50_FallSamples/S50A14T02.csv,numeric,92,3.033333333333333,96,3.066666666666667,0,0,0,0.4893849709265847,thumb_right,42,43,0.07365121984133263,0.06111478834664157,14,22,18.523157522601963,3.8109493577785303,0.9999999999270036,1.5836372838640145e-06,103.07980702534906,87.13691998633155,86.75292488794821,1.508169851464429,1.7170408305402083,1.0089557119169164,0.17733053160980658,0.20461195686714054,0.1255024861968936,0.18559354129056016,0.18385698527158434,0.09957878812323284
S50A14T05,A14,Rotatefall (turn and fall),140705,46d89d35f486d0360fa270a54d128ca1b6c7787cf99ac64eaba544e0d0fc0160,S50_FallSamples/S50A14T05.csv,numeric,83,2.7333333333333334,96,2.7666666666666666,0,0,0,0.44033037585597967,thumb_right,77,78,0.06343379143621355,0.05547893376506383,8,12,23.2078953065181,4.702876162137646,0.9999999999451261,2.0885956750760215e-06,101.77805736444277,90.41520611799257,88.69507227093999,1.5653647096778107,1.6786079966076008,0.986372074631332,0.1604012734561794,0.188523281751127,0.07025133083730534,0.14197429919320326,0.08107859644020277,-0.030037593919180816
S50A14T04,A14,Rotatefall (turn and fall),28806,98718a80f6877da22bbbaedaa70932d4c800b95bf785318391d4829caca5fc1f,S50_FallSamples/S50A14T04.csv,numeric,17,0.5333333333333333,96,0.5666666666666667,0,0,0,0.45566618032646833,handtip_right,9,10,0.013321970367459437,0.011597258340540957,1,2,7.126346309317233,2.174234533119387,0.9999999996284776,2.30021037506134e-06,95.03113327062691,94.94018287099368,94.7444756501949,1.6381232899324303,1.6733958208589819,0.9833093318010235,0.11875365161804537,0.14851389451061697,0.018639322456407592,0.017284409293727654,0.018638386654798555,0.01727603169684344
S50A12T02,A12,Leftfall,121128,05064a056567f14f590158ed16f5c52f6aa10be6ad874898a2a067ecf7316130,S50_FallSamples/S50A12T02.csv,numeric,72,2.3666666666666667,96,2.4,0,0,3,0.6040603675064049,foot_right,0,1,0.0961377325953812,0.09668735067233497,9,12,26.033868668170477,4.904268476804363,0.9999999999323306,2.2020498395836086e-06,88.37578906388595,88.410177521993,79.83421958719032,1.0962212747389524,1.5082592631904637,0.8862729246623949,0.15746608449118674,0.17802558439912008,0.09998637119012377,0.10688855051092128,0.05753306482652265,0.01375605763012866
S50A12T03,A12,Leftfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A12T03.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50A10T04,A10,Backfall,61324,0dc812b9189acb9276d77e8e9d24d8672bb4c328cc8d8d86f386f42cf8780a55,S50_FallSamples/S50A10T04.csv,numeric,36,1.1666666666666667,96,1.2,0,0,0,0.4859833847473186,handtip_left,4,5,0.02331801794016074,0.027592992530674182,2,2,2.353976299785243,0.44603691755933084,0.9999999955763778,1.3750589452632411e-06,86.66689500476357,81.8185552622248,81.59941523257746,1.7315915367128456,1.7315915367128456,1.017505897704105,0.11833364426487883,0.12962150999624183,0.017581350667690454,0.0524004916676708,0.01615934839648636,-0.04246608631145876
S50A12T01,A12,Leftfall,45450,c282dcd7a4d10ae38d6bb32143fa818878228bec9e47889caadf2c9f741501c9,S50_FallSamples/S50A12T01.csv,numeric,27,0.8666666666666667,96,0.9,0,0,0,0.2364454884649426,thumb_left,0,1,0.17031522354717238,0.11276901152382528,3,8,35.259117475663416,10.526460037605194,0.999999999976316,1.8948637727778106e-06,83.52251632461764,96.97334099957712,83.4294703056273,1.3432989517412532,1.3876732371170057,0.815414994192623,0.14031311154526252,0.1532653574601977,0.25280566537905635,0.17232577686118217,0.2013362950665285,0.08519943202127911
S50A10T05,A10,Backfall,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,S50_FallSamples/S50A10T05.csv,empty,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
