trial,segment,median_m,min_m,max_m,cv_pct
S50A11T04,forearm_left,0.21554960245366347,0.17891075949211618,0.23915261260453344,5.4912634444458925
S50A11T04,upper_arm_right,0.2616767726035395,0.2171973566994216,0.29033099681373475,5.491272839870894
S50A11T04,forearm_right,0.21827830697887962,0.18117548515759022,0.24218017032687972,5.491275536234999
S50A11T04,thigh_left,0.3720504952052037,0.30880973612953155,0.41279074506390945,5.491272192256873
S50A11T04,shank_left,0.355565433680728,0.29512672579885857,0.39450064119604833,5.491273674196485
S50A11T04,thigh_right,0.3716500771732616,0.3084773850411494,0.41234645627732075,5.491270044257951
S50A11T04,shank_right,0.35930592113085236,0.2982313916081296,0.39865050420934744,5.4912732256139005
S50A13T01,upper_arm_left,0.2591977467153586,0.19457877061738413,0.27234925797320997,13.328247309418863
S50A13T01,forearm_left,0.21754700877273989,0.1633117036216113,0.22858513745910872,13.328259591571086
S50A13T01,upper_arm_right,0.2641015103326556,0.19826001087865622,0.27750177820177413,13.328254398704338
S50A13T01,forearm_right,0.22030078080388463,0.16537905561080107,0.23147887798482092,13.328252741620421
S50A13T01,thigh_left,0.37549792276917954,0.2818847995950357,0.39455041468583424,13.328250393700436
S50A13T01,shank_left,0.3588599177641874,0.26939495605179997,0.3770684979406186,13.328252533579764
S50A13T01,thigh_right,0.3750937328696954,0.28158132947118214,0.39412582221707343,13.32825162097437
S50A13T01,shank_right,0.36263492451545615,0.2722289116008031,0.3810350571049754,13.328249693731964
S50A13T03,upper_arm_left,0.2605521450009039,0.22584893060160055,0.26705849475341414,4.401939208567951
S50A13T03,forearm_left,0.21868375795195896,0.18955690137210268,0.22414472615476688,4.401920291917576
S50A13T03,upper_arm_right,0.2654816188352206,0.2301214655833798,0.2721110020651744,4.401931644980018
S50A13T03,forearm_right,0.22145209545087968,0.1919564609146504,0.22698183917511727,4.401943358712157
S50A13T03,thigh_left,0.37746037376190217,0.3271854978391665,0.38688579529552347,4.4019384325856015
S50A13T03,shank_left,0.3607355036461254,0.3126882366024407,0.3697432863313421,4.401935845526148
S50A13T03,thigh_right,0.37705375944276925,0.3268333073366312,0.38646931389126576,4.401937562543374
S50A13T03,shank_right,0.36453023429571524,0.31597758973186685,0.37363278615889617,4.401933553699056
S50A13T02,upper_arm_left,0.27042294003711687,0.25821193778582674,0.2759238445160635,1.61200822153684
S50A13T02,forearm_left,0.22696828377198197,0.21671967247229157,0.23158517821947744,1.6120015088689212
S50A13T02,upper_arm_right,0.27553902977361905,0.26309714627273195,0.28114387876856495,1.6120048423468318
S50A13T02,forearm_right,0.22984149270204546,0.2194630421831795,0.23451681917780112,1.6120090601607822
S50A13T02,thigh_left,0.3917597186932908,0.37406988916296885,0.39972889802784095,1.6120021222808585
S50A13T02,shank_left,0.37440140070293976,0.35749550471532776,0.38201738285187775,1.6119998294381377
S50A13T02,thigh_right,0.3913381283513153,0.3736674290735004,0.39929854771130385,1.6120007249778037
S50A13T02,shank_right,0.378339907481828,0.3612561457310025,0.3860360154143274,1.6120036432072615
S50A11T02,upper_arm_left,0.27658014352796595,0.26571969189390965,0.2813154436573151,1.3582179725883192
S50A11T02,forearm_left,0.23213615770793963,0.22302102612658775,0.2361104407466695,1.3582088567949901
S50A11T02,upper_arm_right,0.28181277410392724,0.2707468440257818,0.2866377109263473,1.3582172808095638
S50A11T02,forearm_right,0.23507471930287807,0.22584385131593332,0.2390994413019233,1.3582228061372672
S50A11T02,thigh_left,0.4006796587068272,0.3849462932073792,0.40753954104393425,1.3582194362879185
S50A11T02,shank_left,0.3829260713982947,0.36788981361331713,0.38948225169422346,1.3582213312314542
S50A11T02,thigh_right,0.40024841252208887,0.38453194279269226,0.4071010086929053,1.3582208926866417
S50A11T02,shank_right,0.386954257581823,0.3717597527763576,0.39357922633182174,1.3582171389452502
S50A13T05,upper_arm_left,0.2536964737749625,0.2505793771801925,0.25828911293674733,0.9460339271169818
S50A13T05,forearm_left,0.21292970547388526,0.21031357742638668,0.21678443127432828,0.946013060095692
S50A13T05,upper_arm_right,0.25849599946794666,0.25531996023910825,0.2631756243162433,0.9460342185776766
S50A13T05,forearm_right,0.21562514217620066,0.21297572068352902,0.21952860153594342,0.9460277291768792
S50A13T05,thigh_left,0.36752817727569975,0.3630124555027061,0.3741817031633476,0.9460291970628719
S50A13T05,shank_left,0.3512434545867887,0.3469280862440441,0.3576022775921457,0.94602773075652
S50A13T05,thigh_right,0.3671326822617035,0.36262188660432276,0.373779005709117,0.9460255562475096
S50A13T05,shank_right,0.35493843548967485,0.35057757585907395,0.36136407955179733,0.9460213421366074
S50A14T01,upper_arm_left,0.270037077415892,0.25918814848242316,0.2820262934851773,2.748816297838273
S50A14T01,forearm_left,0.22664448441871182,0.21753890580763988,0.23670709120327602,2.748815707309777
S50A14T01,upper_arm_right,0.27514591556246054,0.2640916962993799,0.2873617802121053,2.7488131475583018
S50A14T01,forearm_right,0.22951349079947808,0.22029267429073093,0.2397033958443335,2.74880827276277
S50A14T01,thigh_left,0.3912005712828186,0.37548409295313717,0.4085692991554886,2.7488168720437596
S50A14T01,shank_left,0.37386717810531156,0.3588468354224752,0.3904661797876487,2.7488203459804694
S50A14T01,thigh_right,0.39077974728422316,0.3750798388643558,0.40812954028004333,2.7488192547662265
S50A14T01,shank_right,0.3778000722109737,0.3626217779689685,0.39457369739856774,2.748823951138027
S50A14T03,upper_arm_left,0.27337370714707626,0.23341921927843515,0.29288603172902433,6.517038592072829
S50A14T03,forearm_left,0.22944495887958874,0.19591080660555465,0.24582188759444185,6.517038832069858
S50A14T03,upper_arm_right,0.27854569635216864,0.23783522414392386,0.2984270513214578,6.517028569039193
S50A14T03,forearm_right,0.23234945995171366,0.1983907151860435,0.24893362975372488,6.517034797916143
S50A14T03,thigh_left,0.3960343190785693,0.3381526423978835,0.42430187927452623,6.517042675420364
S50A14T03,shank_left,0.37848691229243303,0.3231696082149023,0.40550154671408206,6.517041902493073
S50A14T03,thigh_right,0.395608182914519,0.3377889035965466,0.42384528580987074,6.517040865950128
S50A14T03,shank_right,0.38246825057889594,0.3265692690241298,0.40976742312947323,6.517042025075352
S50A14T02,upper_arm_left,0.26492939894106765,0.23876813256526305,0.2829957344995833,3.810947142634446
S50A14T02,forearm_left,0.22235755240356225,0.20040029234678247,0.23752076928453286,3.810944965289216
