trial,trunk_shoulder_midpoint,head_neck_midpoint,foot_point,shank_fraction_0p4459
S50A11T04,0.01595054233838594,0.002922727327041232,0.002537469299287652,0.00021910203403884652
S50A13T01,0.01945328592696435,0.002793579544543422,0.0024252354518894763,0.00020913919204149076
S50A13T03,0.016648732888374543,0.002739308139475487,0.002376388944236373,0.00020554144004029902
S50A13T02,0.020735401218170413,0.002830247766113238,0.0023718465576082126,0.00020076864557630445
S50A11T02,0.015889290071202485,0.002885548485453799,0.002497993264329079,0.00021569838510644625
S50A13T05,0.012557007966649566,0.002649360448681497,0.002300296628231751,0.0001968819873379471
S50A14T01,0.01644582116798427,0.0028928440758933627,0.0025087458031594198,0.00021746330358301847
S50A14T03,0.01279826693734536,0.003004232408990841,0.0026046391850514,0.00022422952519495664
S50A14T02,0.018215910337113225,0.002902779447192796,0.002503134472733179,0.00021651216048605788
S50A14T05,0.01712868133457902,0.0028912512754396473,0.002502300116926882,0.00021719892633280808
S50A14T04,0.016670417262517254,0.00283199186029466,0.0024587212822621387,0.00021117812143901609
S50A12T02,0.015929264722329067,0.0028026206943211505,0.002338875745309713,0.00020531467229103245
S50A10T04,0.018032114771481738,0.00294396289857033,0.002552723601962504,0.00022129808800525614
S50A12T01,0.015404169507595189,0.002757803224741434,0.0023444802162971997,0.00020082393243615534
S50A10T01,0.01767869145297707,0.002777173231229563,0.0023383728650158662,0.00020337449566294884
S50A12T04,0.01304478495219922,0.0026330786140765215,0.0022612484745971437,0.00019527453016225074
S50A12T05,0.01660803913820219,0.0027410245804414682,0.002289815752404667,0.00019755976163909707
S50A10T02,0.01818231665653916,0.0031903248636507477,0.002761904780656066,0.00023863612890054586
S50A10T03,0.016986411768801994,0.0028985640419423395,0.0025112930631555935,0.0002171434778259537
