trial,activity,description,bytes,sha256,source_member,status,frames,columns,first_to_last_s,n_over_fps_s,nonfinite_values,zero_values,exact_duplicate_rows,max_joint_step_m,max_joint_step_joint,max_step_from_frame0,max_step_to_frame0,max_pelvis_step_m,max_com_step_m,steps_any_joint_over_threshold,flagged_destination_frames,limb_scale_range_pct,max_limb_cv_pct,min_limb_correlation,max_normalized_limb_spread,head_ankle_angle_to_camera_minus_y_start_deg,head_ankle_angle_to_camera_minus_y_end_deg,head_ankle_angle_min_deg,eye_foot_distance_start_m,eye_foot_distance_max_m,max_eye_foot_over_reported_stature,com_minus_equal_joint_centroid_median_m,com_minus_equal_joint_centroid_max_m,com_camera_x_range_m,com_camera_y_range_m,com_camera_z_range_m,com_camera_minus_y_change_end_m
S06A08T01,A08,Timed Up and Go,293469,0a06f7252b8d78030ee02b54ff683661e34e7e13ebc114f3efc34fe0359b2df0,S06A08T01.csv,numeric,252,96,8.366666666666667,8.4,0,0,0,0.5688817938690639,wrist_right,118,119,0.08212623958006651,0.06511587290957366,9,16,31.811918888570844,6.723805015268101,0.9999999999563065,2.968720210994036e-06,17.716210666756304,4.729309041150301,0.2789517637563694,1.0780877400277995,1.6498292316174539,0.9279129536656096,0.0420349993452231,0.09733062021265092,1.7626858715520681,0.38647038218587465,2.468384496922025,0.25143680150852543
S06A08T02,A08,Timed Up and Go,186892,fbb360eab2aa7613ff1e92b15c447f4a41dd6a2f8d8fbb2d1d84ecdcc6bff908,S06A08T02.csv,numeric,161,96,5.333333333333333,5.366666666666666,0,0,0,0.9413412525316133,handtip_left,24,25,0.37791394725634475,0.2851996090619109,12,24,30.81614719078145,7.555066633505209,0.9999999999516759,3.5224638949005183e-06,1.4882000562497297,4.761440777331323,1.1978560334635473,1.0401783938256424,1.6276761053949917,0.9154533776124812,0.04495940988181843,0.10329132002663174,1.75079156030252,0.38291961759654697,2.4379794154577135,0.20033402005442424
S06A08T03,A08,Timed Up and Go,226355,7ea263eb911002ddc809d56da60845f31098c0775cda4bd4229ae88e0099d479,S06A08T03.csv,numeric,195,96,6.466666666666667,6.5,0,0,0,0.9768279640117732,foot_left,67,68,0.2803989462118636,0.30043198201423177,21,28,25.003219466558125,5.238405563420047,0.9999999998524559,5.935768250475704e-06,5.01283134483318,6.302307140353324,1.002257836619146,1.5502408910306493,1.6370047765183122,0.9207000992791408,0.030767157820784277,0.09708442025774357,1.251808607282847,0.3724312572707375,1.4541989505330575,0.013447488893123805
S06A08T04,A08,Timed Up and Go,243925,ee58489b27df44cc9502a4f95f387c38c99e1d9af069c14636b38bebd758d07c,S06A08T04.csv,numeric,210,96,6.966666666666667,7.0,0,0,0,1.035929915188795,foot_left,161,162,0.3206788604598368,0.2384142246452806,29,34,43.289069788751156,6.178495289612235,0.9999999999163748,3.3898879081561972e-06,4.38467823695759,15.322916175735905,0.8983329101032083,1.5704577854005854,1.6408676012263506,0.9228726666064964,0.05942372888080268,0.1046085331378256,1.9805050062722769,0.4147559950733902,2.5954652795263558,-0.07524129329812518
S06A08T05,A08,Timed Up and Go,225097,d6cd15ebc42578312b508638ac8e8e84c3c64662247c942da7c1e410a80872fd,S06A08T05.csv,numeric,193,96,6.4,6.433333333333334,0,0,0,0.32640846203144674,foot_left,167,168,0.0578094803695865,0.05762508446041354,13,17,24.949723066905772,4.157662718478371,0.9999999999288971,2.478916907189266e-06,8.832870977230094,3.6164057706663764,0.47799762111498195,1.544166428572098,1.6562987886292588,0.9315516246508767,0.048053603325566165,0.14834309721604877,1.8732412678139037,0.26205495307053034,2.2655390298977824,-0.23001273647038772
