trial,from_frame0,to_frame0,max_joint,max_joint_step_m,com_step_m,limb_scale_step_fraction,reason
S06A08T03,26,27,handtip_right,0.2028122575721831,0.040213539975458415,0.00047233063002457995,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,30,31,wrist_right,0.2648589949518063,0.029846858556240623,0.009580362779663117,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,32,33,thumb_right,0.3033968860866095,0.015429683691936069,0.005761652948960728,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,65,66,elbow_left,0.5108332786734223,0.11466534775332364,0.10868333288459014,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,66,67,hand_left,0.4948579937648913,0.07782922762025465,0.08106289063400351,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,67,68,foot_left,0.9768279640117732,0.30043198201423177,0.08026958075073726,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,68,69,handtip_left,0.8178859300667755,0.20806499183953506,0.11250103933703662,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,69,70,foot_left,0.3332643663364552,0.012249213284790212,0.036350867227208386,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,70,71,handtip_right,0.2337652228184284,0.007941836642272505,0.0016790659350539234,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,71,72,thumb_left,0.2936492955150201,0.014570556277600417,0.016915117301417742,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,92,93,handtip_right,0.20950972586298366,0.01387488734337043,0.01620907967098008,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,110,111,knee_left,0.18880915455942535,0.04533536070532206,0.04587720701356405,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,118,119,foot_right,0.15411387450341243,0.04612328720023055,0.07087979765191753,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,119,120,foot_left,0.2031322929517102,0.04330266107783932,0.04054883980888532,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,123,124,thumb_right,0.0736841004618052,0.013868799063861197,0.03523581991711585,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,126,127,wrist_right,0.09957136938062852,0.015250729043082714,0.031294538128981544,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,128,129,foot_right,0.2486009892005881,0.03761892219710269,0.05378697165813472,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,138,139,handtip_left,0.20085235798340037,0.013445642711476562,0.002811151991383953,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,139,140,wrist_right,0.08710520889357537,0.009361045978833395,0.03160990558750542,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,141,142,thumb_left,0.2292777713862726,0.017555604561658403,0.013713706517278376,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,142,143,thumb_left,0.29240300957965004,0.00752558470514412,0.02214579747520836,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,147,148,wrist_right,0.282589696421229,0.04468498659025573,0.028175585489554626,joint step >0.2m and/or scale change >3.0%; review only
S06A08T03,149,150,handtip_right,0.3563265116730103,0.031136202757167556,0.011555092746080707,joint step >0.2m and/or scale change >3.0%; review only
