trial,segment,median_m,min_m,max_m,cv_pct
S06A08T01,upper_arm_left,0.2751298767939111,0.21931103766207655,0.2890779110321959,6.723800856768886
S06A08T01,forearm_left,0.23091882990505108,0.1840693341548019,0.2426257172057539,6.72379944268071
S06A08T01,upper_arm_right,0.28033492763810836,0.22345995124296042,0.29454710118289174,6.7238022622840425
S06A08T01,forearm_right,0.23384186201123924,0.18639965907738687,0.24569696160152382,6.723805015268097
S06A08T01,thigh_left,0.398578615502176,0.31771425519068336,0.418785199658338,6.723799325552633
S06A08T01,shank_left,0.3809181623860687,0.3036366394145609,0.40022937559881594,6.723804385050703
S06A08T01,thigh_right,0.398149649594681,0.3173724224709829,0.4183344595288299,6.7237976344914125
S06A08T01,shank_right,0.3849252628679477,0.306830845924309,0.40443968050394125,6.723802667224311
S06A08T02,upper_arm_left,0.2639412978720424,0.21649304824111537,0.28320773398167076,7.555064476753669
S06A08T02,forearm_left,0.2215282415659885,0.18170439109632447,0.23769845777337195,7.555065190247744
S06A08T02,upper_arm_right,0.26893476571551317,0.2205884821876102,0.2885655090446588,7.555066321859904
S06A08T02,forearm_right,0.2243323749861953,0.18400446774487056,0.24070743195321015,7.555062749510241
S06A08T02,thigh_left,0.38236979254787956,0.3136314713327297,0.4102811641908444,7.555061396588958
S06A08T02,shank_left,0.3654274101609588,0.29973540997658654,0.3921018302635138,7.555059950081355
S06A08T02,thigh_right,0.3819582487505179,0.3132940310294112,0.4098392881251565,7.555064833979745
S06A08T02,shank_right,0.36927131965277615,0.30288819031519876,0.39622636376809317,7.555066633505211
S06A08T03,upper_arm_left,0.2564486657653605,0.2232928592036637,0.2791232633217457,5.238401603421399
S06A08T03,forearm_left,0.21523976691543972,0.18741151105498133,0.23427057648914576,5.238399662456986
S06A08T03,upper_arm_right,0.2613003489257057,0.22751709390705246,0.2844038952937317,5.238401180213296
S06A08T03,forearm_right,0.21796405349907816,0.18978385694716188,0.2372361177043581,5.23840556342005
S06A08T03,thigh_left,0.3715159177262756,0.3234826065461496,0.40436372113786667,5.238400725085209
S06A08T03,shank_left,0.3550539531659545,0.30914961175945926,0.3864470190012012,5.23840512309183
S06A08T03,thigh_right,0.3711149928594847,0.32313443871999736,0.4039284942218481,5.23840089361855
S06A08T03,shank_right,0.3587889425052338,0.31240187055461077,0.3905121044733873,5.238404491567883
S06A08T04,upper_arm_left,0.2605910648087427,0.21147703853823818,0.3030238287672416,6.178487770808642
S06A08T04,forearm_left,0.21871629967110362,0.17749455030685724,0.2543305202665123,6.178495289612237
S06A08T04,upper_arm_right,0.26552106427682987,0.21547813903948518,0.3087564918904563,6.178483063194705
S06A08T04,forearm_right,0.221484988156909,0.17974149781328438,0.257549894603876,6.178486283937827
S06A08T04,thigh_left,0.37751641183522144,0.3063659088167794,0.4389883537996272,6.178484454074368
S06A08T04,shank_left,0.3607891895508082,0.29279056950978904,0.4195372522138795,6.178486244781987
S06A08T04,thigh_right,0.37711018267416463,0.30603598466114235,0.4385160772829755,6.178481757626631
S06A08T04,shank_right,0.36458431069289593,0.2958709190907256,0.4239511289195623,6.1784873562417895
S06A08T05,upper_arm_left,0.2751843885536301,0.22833486474397516,0.2853037464271578,4.157656549437411
S06A08T05,forearm_left,0.2309646816843986,0.19164335892628495,0.2394578668926719,4.157662718478369
S06A08T05,upper_arm_right,0.28039066869081236,0.2326545943803124,0.29070116959788206,4.15766064597035
S06A08T05,forearm_right,0.23388837535672302,0.19406938423643197,0.2424891275718998,4.157661139780091
S06A08T05,thigh_left,0.39865767977116945,0.3307872711906109,0.41331726982155903,4.1576574577983125
S06A08T05,shank_left,0.3809936709201125,0.316130209277208,0.3950038266776197,4.157658812343079
S06A08T05,thigh_right,0.39822864115818574,0.33043096254290616,0.41287256328451083,4.157659092661232
S06A08T05,shank_right,0.3850015695141191,0.31945573166277696,0.3991591411302281,4.157658974852077
