trial,activity,frame0,time_from_clip_start_nominal_s,com_proxy_camera_x_m,com_proxy_camera_y_m,com_proxy_camera_z_m,delta_camera_x_m,delta_camera_minus_y_m,delta_camera_z_m,absolute_height_above_floor_m,true_horizontal_1_m,true_horizontal_2_m,equal_joint_centroid_x_m,equal_joint_centroid_y_m,equal_joint_centroid_z_m,median_normalized_limb_scale,max_joint_step_from_previous_m,review_flag,head_ankle_angle_to_camera_minus_y_deg,eye_to_furthest_foot_m
S06A08T01,A08,0,0.0,2.070638698779425,-0.016913110829897344,4.111147447676065,0.0,0.0,0.0,,,,2.0506907959375003,-0.03009724038750001,4.088580139125001,0.849716004259663,,False,17.716210666756304,1.0780877400277995
S06A08T01,A08,1,0.03333333333333333,2.0689078445998312,-0.018043653064481028,4.112846794671323,-0.0017308541795939547,0.001130542234583684,0.0016993469952577556,,,,2.0482333525312506,-0.031406004657187514,4.0902941589375,0.834625443034965,0.04827467370913706,False,18.447744999173782,1.0656247828826433
S06A08T01,A08,2,0.06666666666666667,2.0695143935165623,-0.017796124414099834,4.1023494350358325,-0.0011243052628628902,0.0008830135842024904,-0.0087980126402325,,,,2.046711052,-0.030703085307656256,4.075579513437501,0.8488348106637816,0.07265534183290809,False,17.979001044440583,1.049156960828341
S06A08T01,A08,3,0.1,2.0687443299182777,-0.026097972555191324,4.102169734395048,-0.0018943688611474663,0.00918486172529398,-0.008977713281017152,,,,2.0448097305625,-0.040997183740749996,4.0765173111875,0.8159276272697199,0.039565150929699526,True,18.95997898474482,1.0471687520210071
S06A08T01,A08,4,0.13333333333333333,2.064565605460852,-0.023453487320073706,4.099677042494299,-0.006073093318573086,0.006540376490176362,-0.011470405181765564,,,,2.042968345625,-0.035587481793750014,4.0834012298437505,0.838971384638435,0.12298474474003793,False,16.453674600275736,1.0531141900216643
S06A08T01,A08,5,0.16666666666666666,2.064047955038881,-0.0228728934188726,4.098696838181992,-0.006590743740544358,0.005959782588975258,-0.012450609494073284,,,,2.04220258334375,-0.03469314873281249,4.083120369,0.8399920145806122,0.020304015877653077,False,16.167701313012763,1.0538925677487776
S06A08T01,A08,6,0.2,2.0704927264542534,-0.020548213774509085,4.097459517158376,-0.0001459723251717726,0.0036351029446117407,-0.013687930517688685,,,,2.0452479018750003,-0.03588638330468749,4.07545080559375,0.8092041238234446,0.08603064526006605,True,16.660729894218246,1.0458158805860753
S06A08T01,A08,7,0.23333333333333334,2.062080195140697,-0.022416334334286175,4.092864266556541,-0.008558503638728343,0.005503223504388831,-0.018283181119524095,,,,2.0354128494375003,-0.03611208230593749,4.0763588715312515,0.8172771169022492,0.06075813930599955,False,15.43306140995157,1.0382588941963882
S06A08T01,A08,8,0.26666666666666666,2.062107741814695,-0.024802476948060648,4.096524522211281,-0.008530956964730052,0.007889366118163304,-0.014622925464784053,,,,2.0357465056562503,-0.0407809011365625,4.0730334930625,0.7971180705633443,0.06938717615681204,False,16.14986623636301,1.0199473799749768
S06A08T01,A08,9,0.3,2.0547490007133344,-0.023011667311403583,4.090801756495893,-0.01588969806609075,0.006098556481506239,-0.0203456911801716,,,,2.02150734715625,-0.03793443351534377,4.066263656687499,0.8201879494106403,0.06585694375163954,False,14.958858921246133,1.0023797869520372
